job,admirable,useful,good,large,powerful,strong,fast,noisy,young,honest,stubborn,busy
monk,3.2,2.7,3.7,2.8,2.6,2.6,2.2,1.4,1.7,3.3,3.8,1.8
bank_clerk,3.4,3.5,3.4,2.5,2.2,2.6,3.2,2.1,3.6,4.1,4.7,4.2
cartoonist,3,3.2,3.5,2.2,2.1,2.2,3.3,3.4,4.1,3.4,1.3,4.3
designer,3.2,3.2,3.5,2.6,2.5,2.6,3.6,2.9,4.2,3.2,1.5,4
nurse,4.2,4.6,4.5,3.1,3,3.2,2.8,3.3,4.1,4.5,2.3,4.9
professer,4,4,3.8,3.4,3.2,3.1,2.4,1.5,1.6,3.7,3.9,3
doctor,4,4.8,3.9,3.5,3.8,3.7,3.2,2.1,2.6,3.7,3.6,4.5
police,3.7,4.6,4.1,3.4,4,4.1,4.3,3.4,3.5,4.2,4.4,4
journalist,3.6,4.3,3.7,2.9,3.5,3.6,4.7,4.2,4.1,3.9,3.7,5
sailor,3.6,3.6,3.5,3.5,4.2,4.2,3.5,3.5,3.7,3.5,2.5,3.5
athlete,3.7,3.2,3.7,3.9,4.7,4.7,4.9,3.5,4.2,3.7,2.8,4.1
writer,3.4,3.7,3.5,3.1,2.7,2.4,2.3,1.8,2.3,3.3,2.9,3.3
actor,3.2,3.2,3.6,2.9,2.2,2.5,3.3,3.3,3.4,2.8,1.8,4.3
cabin_attendant,3.2,3.8,3.8,2.8,2.3,2.4,3.9,2.5,4.7,3.9,2.3,4.3
